"no","id","symbol","name","date_achat","montant","portefeuille","wallet","exchange","date_verification","observation"
"53746","official-trump","trump","Official Trump",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4463","okb","okb","OKB","2025-07-03","69.751135094588","8.62946303","Rabby OKex Wallet XLayer(1,054)+Rabby OKex Wallet Ethereum(7,57546303)",,"2026-03-27",
"28453","blur","blur","Blur",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28938","coredaoorg","core","Core","2024-09-17","0.8481781473","110"," Rabby Airdrops Core",,"2026-03-28","100 CORE en staking sur https://stake.coredao.org/liquid-staking/stcore
à 4,16 %"
"12538","velo","velo","Velo","2026-01-05","0.006536992","9428.878393","Rabby Airdrops BSC",,"2026-04-01","Farming possible sur https://velofinance.io/farms/bnb/live"
"4519","xyo-network","xyo","XYO Network","2026-02-28","0.003354372029","7342.92853088","Rabby Principal Ethereum",,"2026-05-26","7000 xyo stakés sur https://xyo.network/fr/staking/stake
Utiliser chromium et metamask pour que la connexion fonctionne"
"16547","arbitrum","arb","Arbitrum","1970-01-01","0","0",,,"1970-01-01",
"858","gas","gas","Gas","2023-11-25","7.387389254308","46.09695056","Neon Wallet(App Linux)",,"2026-04-22","Pour lancer le wallet :
Aller dans Téléchargement et exécuter :
blu3m00n@blu3m00n-NV4XMB-ME-MZ:~/Téléchargements$ ./NeonWallet-3.10.0-linux.AppImage --no-sandbox
"
"35958","ether-fi","ethfi","Ether.fi","1970-01-01","0","0",,,"1970-01-01","Launchpad Binance"
"15069","pendle","pendle","Pendle","2024-06-14","4.73185574083","52.76927","Rabby Principal :  Ethereum",,"2026-04-02","50 PENDLE stakés sur
https://app.pendle.finance/spendle/stake/in
Unstaking has a 14-day cooldown, or instant for a 5% fee."
"17980","the-open-network","ton","Toncoin","2024-04-30","4.944168979179","243.46","TonKeeper (Android)",,"2026-06-12","237,36 TON stakés sur https://app.tonstakers.com/ à 14,38%
"
"18125","adventure-gold","agld","Adventure Gold","2023-12-15","0.856173773834","4.311","Rabby Principal : Ethereum",,"2026-03-23",
"29850","pepe","pepe","Pepe","2024-08-09","0.0000077099","21355418.752161","Rabby Ledger BSC(4089.7521609069)+Rabby Principal Ethereum(21351487)",,"2026-03-22",
"26045","euro-coin","eurc","EURC",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2341","arcblock","abt","Arcblock","2025-05-11","1.034057455","51.5066","Rabby PlayToEarn Ethereum",,"2026-03-19",
"26375","sui","sui","Sui","1970-01-01","0","0",,,"1970-01-01",
"68404","lombard-protocol","bard","Lombard",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30162","ordinals","ordi","ORDI","2024-02-26","61.439880069257","4.71","Unisat Wallet (Extension Chrome)",,"2026-04-17","Extension Unisat Wallet utilisée avec Password et Seed de Trust Wallet

(Les utilisateurs de trust wallet doivent désormais importer leur phrase de récupération dans un portefeuille dédié comme Xverse ou Unisat pour y accéder. 
Statut actuel (avril 2026) : Le support des tokens BRC-20 et des inscriptions est désactivé dans Trust Wallet.) 

Adresse BRC20 Bitcoin (bc1qmd5c4nej0utejfw7ylla8wys85x3v8jyjj3zar)
"
"8506","arpa","arpa","ARPA",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34258","xai-blockchain","xai","Xai","2024-01-09","1.023743494747","128.42858143","Metamask EWC XAI",,"2026-06-03","https://app.xai.games/redeem
Redeem en pending 180 jours (récupération le 01/09/26)"
"35893","aevo-exchange","aevo","Aevo","2024-05-22","0.856409938656","667.97710676","Rabby EWC Ethereum",,"2026-04-10",
"13459","cobak-token","cbk","Cobak",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30929","arkham","arkm","Arkham","2024-06-09","2.1195267894","144","Rabby Gate.io Ethereum",,"2026-06-04",
"35100","pixels","pixel","Pixels","2024-05-19","0.3113372485","253.708","Rabby Ronin",,"2026-05-31","pixels unstakés de https://staking.pixels.xyz/stakes
car validateur inactif (withdraw après 3 jours de délai d'unstaking)
Restaker 250 pixel sur le validateur pixel"
"54411","kaito","kaito","KAITO",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31069","worldcoin-wld","wld","Worldcoin","2024-04-13","6.06023498286","10.98003148","Rabby EWC Optimism",,"2026-04-14",
"54342","pi-network","pi","Pi Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31274","cyberconnect","cyber","CyberConnect",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31059","mog-coin","mog","Mog Coin","1970-01-01","0","0",,,"1970-01-01",
"53623","plume","plume","Plume","2025-08-18","0.000000000001","31.08205875","Rabby EWC Plume",,"2026-05-10","Launchpad"
"36440","cat-in-a-dogs-world","mew","cat in a dogs world",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1899","telcoin","tel","Telcoin",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31967","celestia","tia","Celestia","2024-02-13","11.169346175858","166.356131","Keplr Blu3M00nAirdrops(0,407431)+Keplr Ledger(165,9487)",,"2026-04-03","160.1596 TIA en staking sur Keplr Principal
https://wallet.keplr.app/chains/celestia
avec la ledger connectée sur COSMOS

Ne pas confondre Keplr Airdrops avec Keplr Blu3M00nAirdrops

"
"32251","big-time","bigtime","Big Time",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17547","orca","orca","Orca",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28452","bittensor","tao","Bittensor","1970-01-01","0","0",,,"1970-01-01",
"26433","starknet","strk","Starknet",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34608","altlayer","alt","AltLayer","1970-01-01","0","0",,,"1970-01-01",
"39699","dogs-2","dogs","Dogs","1970-01-01","0","0",,,"1970-01-01","Launchpad Binance"
"33713","1000sats-ordinals","1000sats","1000SATS (Ordinals)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"33566","dogwifcoin","wif","dogwifhat","2024-05-17","2.5747937108","74.445502","Phantom Wallet Compte 1",,"2026-05-13","Possibilité de lending sur https://save.finance/ si APR au moins égal à 1%
Overview affichée à droite"
"30496","snek","snek","Snek","2024-08-02","0.000845747828","8000",,"MEXC","2026-05-17",
"29306","chaingpt","cgpt","ChainGPT",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7427","stronghold-token","shx","Stronghold","2025-10-11","0.010705565556","36380","Freighter Wallet",,"2026-06-02",
"32594","dydx-chain","dydx","dYdX",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25266","apex-token-2","apex","ApeX","2024-06-13","2.273042976014","138.99486523","Rabby Phantom_Ethereum Arbitrum",,"2026-06-09",
"52721","susds","susds","sUSDS",NULL,NULL,NULL,NULL,NULL,NULL,NULL
